Date,Time,Location,City,Province,No of Strike,Al-Qaeda,Taliban,Civilians Min,Civilians Max,Foreigners Min,Foreigners Max,Total Died Min,Total Died Mix,Injured Min,Injured Max,Women/Children,Special Mention (Site),Comments,References,Longitude,Latitude,Temperature(C),Temperature(F),Total Died Max,year,customDate
friday- june 18- 2004,22:00,near wana,south waziristan,fata,1,0,1,0,4,0,0,0,5.0,0,0,0,blast occured in courtyard of the house of long-time friend- the late sherzamanashrafkhel where nek mohammad and his colleagues were having dinner,village in wana,http://archives.dawn.com/2004/06/19/top1.htm,69.9,33.0333,28.475,83.255,0,2004,2004-06-18
sunday- may 08- 2005,23:30,mir ali (near afghan border),north waziristan,fata,1,1,0,0,1,0,0,0,2.0,0,0,0,drone struck a car driven by local warlord- killing both him and his passenger ali-yemeni,civilian killied was samiullah khan who was a local warlord,http://www.msnbc.msn.com/id/7847008/,70.1455,32.9746,11.475,52.655,0,2005,2005-05-08
thursday- december 01- 2005,,haisori- miran shah,north waziristan,fata,1,1,0,0,1,0,3,0,5.0,0,2,0,explosive occurred at a mud house,no. 3 al-qaeda's leader abuhamza rabia killed in a drone attack,http://edition.cnn.com/2005/world/asiapcf/12/03/pakistan.rabia/,70.1455,32.9746,7.08,44.744,0,2005,2005-12-01
friday- january 06- 2006,,saidgai village- 115km north of wana,north waziristan,fata,1,0,0,0,0,0,0,0,3.0,0,2,0,,,http://www.reuters.com/article/2007/04/27/us-pakistan-violence-idusisl11111020070427,70.1455,32.9746,0.535,32.963,0,2006,2006-01-06
friday- january 13- 2006,3:00,damadola village,bajaur agency,fata,1,0,0,0,18,0,0,0,18.0,0,2,1,three houses were tarheted in damadola village- 50 kilometers from the afghan border.,masood khan house was among those bombed. wanted al qaeda suspect mualana faqir muhammad's house was 10 km away.,http://www.dailytimes.com.pk/default.asp?page=2006\01\14\story_14-1-2006_pg1_1,71.5,34.6833,10.025,50.045,0,2006,2006-01-13
monday- october 30- 2006,,chenagai,bajaur agency,fata,1,0,0,0,82,0,0,0,82.0,0,0,1,explosion on seminary filled with students,21 teenagers were killed,http://archives.dawn.com/2006/10/31/top1.htm,71.5,34.6833,18.12,64.616,0,2006,2006-10-30
friday- april 27- 2007,,saidgai village,north waziristan,fata,1,0,0,0,2,0,2,0,4.0,0,2,0,attack on house of habibullah which was next to religious school- run by a pro-taliban cleric,millitanta were killed while making bombs,http://www.reuters.com/article/idusisl11111020070427,70.1455,32.9746,25.77,78.386,0,2007,2007-04-27
tuesday- june 19- 2007,10:30,mamirogha- dattakhel,north waziristan,fata,3,0,0,20,32,0,0,20,32.0,0,15,1,explosion occured at cluster of 3 houses and tents (suspected training camp) plus a religious school,millitanta were killed while making bombs,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100207666&issue=np_lhe&date=20070620,70.1455,32.9746,24.395,75.911,0,2007,2007-06-19
friday- november 02- 2007,,dandey darpakhel-miranshah,north waziristan,fata,1,0,0,5,8,0,2,5,10.0,6,12,0,missile killed the militants inside a compound near madrassa- established by jalaluddinhaqqani,house was training camp and explosives store by isuregents loyal to baitullah mehsud,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100291757&issue=np_lhe&date=20071103,70.1455,32.9746,15.325,59.585,0,2007,2007-11-02
monday- december 03- 2007,,jani khel,bannu,kpk,1,0,0,0,0,0,0,0,0.0,0,1,0,,,http://archives.dawn.com/archives/39900,70.6042,32.9861,13.79,56.822,0,2007,2007-12-03
tuesday- january 29- 2008,4:00,khushali village,north waziristan,fata,1,1,0,5,7,5,7,12,13.0,0,2,1,missile hit a house of local resident,dead were pro taliban militants and some of them were arabs and central asians,http://news.bbc.co.uk/2/hi/south_asia/7220823.stm,70.1455,32.9746,2.18,35.924,0,2008,2008-01-29
thursday- february 28- 2008,2:00,kalosha,south waziristan,fata,1,0,0,7,8,0,6,8,13.0,0,3,0,missile hit a house which was rented out to an arab,large number of arabs and other fireigners are living in this area for many years and doing business with local tribals,http://archives.dawn.com/2008/02/29/top1.htm,69.9,33.0333,15.575,60.035,0,2008,2008-02-28
sunday- march 16- 2008,15:35,dhok pirbagh- wana,south waziristan,fata,6,0,0,0,0,0,20,0,20.0,5,8,0,seven missiles landed on a house of  noorullah,arabs were holding meeting in house which was located half km from the station of taliban commander maulvi nazir,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100370680&issue=np_lhe&date=20080317,69.9,33.0333,18.32,64.976,0,2008,2008-03-16
tuesday- april 01- 2008,,miran shah,north waziristan,fata,2,0,0,0,3,0,0,0,3.0,0,0,0,2 missiles hit a house ,,http://www.nawaiwaqt.com.pk/e-paper/lahore/2010-04-06/page-1/detail-7,70.1455,32.9746,16.21,61.178,0,2008,2008-04-01
wednesday- may 14- 2008,20:00,damadola village- near afghan border,bajaur agency,fata,2,1,0,12,19,0,0,12,20.0,0,0,1,missile hit the compound of maulvi ismail where militants have gatherd for dinner. ,surrounding are is in hands of millitants linked to the pakistan taliban militants group- who have been blamed for killing of  benazir bhutto,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100406926&issue=np_lhe&date=20080515,71.5,34.6833,27.24,81.032,0,2008,2008-05-14
saturday- june 14- 2008,,makeen,south waziristan,fata,3,0,0,0,1,0,0,0,1.0,0,0,0,three missiles were fired at a house in a bid to targe the hideout of threek-e-taliban pakistan chief baitullah mehsud,this incident comes just days after an airstrike by us led,http://www.dailytimes.com.pk/default.asp?page=2008\06\15\story_15-6-2008_pg7_5,69.9,33.0333,27.975,82.355,0,2008,2008-06-14
monday- july 28- 2008,,azam warsak- near wana,south waziristan,fata,1,1,0,0,6,0,0,6,7.0,0,3,1,pre-dawn attack blitzed a house close to a madrasa used by militants known as hotbed of taliban and al qaeda support,abu khabab al-masri- an egyptian chemist regarded as one of al qaeda's top bomb makers died in attack,http://www.dailytimes.com.pk/default.asp?page=2008\07\29\story_29-7-2008_pg1_1,69.9,33.0333,27.47,81.446,0,2008,2008-07-28
wednesday- august 13- 2008,20:30,baghar near angoor adda- wana,south waziristan,fata,1,0,0,10,12,0,8,10,20.0,0,0,0,attack on suspected hideout of militants,rehman wazir who id reported to have been killed in the attack belonged to pro militant group led by maulvinazir,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100463739&issue=np_lhe&date=20080814,69.9,33.0333,26.855,80.339,0,2008,2008-08-13
wednesday- august 20- 2008,19:00,zari noori area,south waziristan,fata,1,0,0,6,8,0,0,6,8.0,0,3,0,,,http://afp.google.com/article/aleqm5grlj6xrsgshp7fjtylelxa6i3oma   http://archives.dawn.com/2008/08/21/top6.htm,69.9,33.0333,25.555,77.999,0,2008,2008-08-20
wednesday- august 27- 2008,,ganghikhel area,south waziristan,fata,1,0,0,0,0,0,0,0,0.0,0,4,1,us missile struck the backyard of the house,the missile attack was carried out at a time when a jirga of ahmedzai was negotiating a ceasefire between the govt and taliban,http://www.dailytimes.com.pk/default.asp?page=2008\08\29\story_29-8-2008_pg7_8,69.9,33.0333,25.235,77.423,0,2008,2008-08-27
saturday- august 30- 2008,16:30,ganghikhel- wana,south waziristan,fata,1,0,0,4,6,0,0,4,6.0,2,4,0,missile hit a house near scout camp,this area is considered to be the stronghold of pro-govt warlord maulvi nazeer who had expelled uzbek militants from there.,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100474153&issue=np_lhe&date=20080831,69.9,33.0333,24.175,75.515,0,2008,2008-08-30
saturday- august 30- 2008,15:00,gundikili village- miranshah,north waziristan,fata,1,0,0,0,0,0,6,0,6.0,0,8,1,missile hit a house,,http://www.dailytimes.com.pk/default.asp?page=2008\09\01\story_1-9-2008_pg1_8,70.1455,32.9746,24.255,75.659,0,2008,2008-08-30
thursday- september 04- 2008,17:00,muhammand khel- miranshah,north waziristan,fata,1,0,0,4,6,0,0,4,6.0,0,5,0,unmaned aircraft hit a house of tribesman,the house was known to host foreigners,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100477080&issue=np_lhe&date=20080905,70.1455,32.9746,24.8,76.64,0,2008,2008-09-04
friday- september 05- 2008,9:00,gorveek- miranshah,north waziristan,fata,3,0,0,6,10,0,0,6,10.0,0,0,1,three missiles were fired from a drone that hit two houses,,http://www.express.com.pk/epaper/popupwindow.aspx?newsid=1100477726&issue=np_lhe&date=20080906,70.1455,32.9746,22.645,72.761,0,2008,2008-09-05
monday- september 08- 2008,10:20,dandey darpakhel-miranshah,north waziristan,fata,4,0,7,12,18,0,0,17,25.0,19,25,1,spy targeted taliban commander jalaluddin haqqani's compound near madrassa ,arab and uzbek militants had stayed at madrassa but it is not confirmed if anyone of them died,http://edition.cnn.com/2008/world/asiapcf/09/09/pakistan.alqaeda.killed/index.html,70.1455,32.9746,20.55,68.99,0,2008,2008-09-08
friday- september 12- 2008,5:30,tol khel,north waziristan,fata,1,0,0,12,14,0,0,12,14.0,12,14,0,missile hit a house that had been rented by an afghan terrorist organization- al badar, afghan terrorist organization- al badar- was using that house as an office,http://www.dailytimes.com.pk/default.asp?page=2008\09\13\story_13-9-2008_pg1_1,70.1455,32.9746,25.485,77.873,0,2008,2008-09-12
wednesday- september 17- 2008,,angoor adda,south waziristan,fata,1,0,0,3,5,0,4,5,7.0,3,6,0,missiles hit a house,officer told strike was the result of us and pak intelligence sharing. house belonged to the supporters of pro govt militant,http://www.dailytimes.com.pk/default.asp?page=2008\09\18\story_18-9-2008_pg1_4,69.9,33.0333,22.615,72.707,0,2008,2008-09-17
